DEBUG 2019-08-13 11:53:04,348 1927578ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:53:09,003 1932233ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:53:12,285 1935515ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action getProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:58:52,236 2275466ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:59:16,735  3634ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 11:59:19,432  6331ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:40:35,116 2482015ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:40:39,134 2486033ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:40:40,774 2487673ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:43:22,028 2648927ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:43:24,168 2651067ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:43:25,687 2652586ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:45:04,857 2751756ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:45:06,104 2753003ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:45:07,945 2754844ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:49:10,822 2997721ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:49:34,928 3021827ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:49:36,843 3023742ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:49:38,323 3025222ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:51:02,087 3108986ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:51:10,290 3117189ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:51:11,849 3118748ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:58:24,786 3551685ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:58:28,298 3555197ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 12:58:31,097 3557996ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:17:47,151  5254ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:19:22,941 101044ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:19:25,502 103604ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:20:28,026 166128ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:20:29,540 167643ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:20:31,530 169632ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:23:15,667 333769ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:23:17,925 336027ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:23:20,804 338906ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:25:44,473 482575ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:25:47,519 485621ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:25:49,196 487298ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:58:42,346  5492ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:58:44,244  7390ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:58:46,059  9205ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:59:19,459  4432ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:59:21,180  6153ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 14:59:23,205  8178ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:00:32,085 77058ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:00:38,099 83072ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:00:47,498 92471ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:04:29,750 314723ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:04:32,778 317751ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:04:34,252 319225ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action getProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:04:35,366 320339ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:05:00,959 345932ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:05:03,727 348700ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:05:05,787 350760ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action getProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:05:08,018 352991ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:21:03,417 1308390ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:21:05,068 1310041ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:21:06,907 1311880ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action nuevoProducto, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:21:30,122 1335095ms LoggingFilterAttribute OnActionExecuting  - Controller: Producto, Action listProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
DEBUG 2019-08-13 15:21:31,588 1336561ms LoggingFilterAttribute OnActionExecuting  - Controller: Admin, Action bandejaProductos, Fecha y Hora: martes, 13 de agosto de 2019, Usuario: sisadri
